stock_code,corp_name,year,word_count,filename,start_page,end_page
[정정]012450,한화에어로스페이스,2024,10420,[정정]012450_한화에어로스페이스.pdf,83,114
004920,씨아이테크,2024,3924,004920_씨아이테크.pdf,12,27
282330,BGF리테일,2024,5335,282330_BGF리테일.pdf,19,43
064960,SNT모티브,2024,7044,064960_SNT모티브.pdf,22,58
138490,코오롱ENP,2024,5069,138490_코오롱ENP.pdf,13,34
007110,일신석재,2024,2545,007110_일신석재.pdf,9,24
069260,티케이지휴켐스,2024,2393,069260_티케이지휴켐스.pdf,13,24
002780,진흥기업,2024,3394,002780_진흥기업.pdf,13,25
068290,삼성출판사,2024,2590,068290_삼성출판사.pdf,11,21
[정정]357250,미래에셋맵스리츠,2024,766,[정정]357250_미래에셋맵스리츠.pdf,12,18
[정정]022100,포스코DX,2024,8194,[정정]022100_포스코DX.pdf,8,38
033270,유나이티드,2024,5074,033270_유나이티드.pdf,13,42
010820,퍼스텍,2024,3127,010820_퍼스텍.pdf,10,27
004440,삼일씨엔에스,2024,3390,004440_삼일씨엔에스.pdf,20,33
093050,LF,2024,11756,093050_LF.pdf,6,59
278470,에이피알,2024,8921,278470_에이피알.pdf,6,51
004430,송원산업,2024,5502,004430_송원산업.pdf,15,40
041650,상신브레이크,2024,5174,041650_상신브레이크.pdf,4,29
396690,미래에셋글로벌리츠,2024,1323,396690_미래에셋글로벌리츠.pdf,10,26
000430,대원강업,2024,3926,000430_대원강업.pdf,20,38
005750,대림비앤코,2024,5071,005750_대림비앤코.pdf,17,39
025000,KPX케미칼,2024,2183,025000_KPX케미칼.pdf,10,19
[정정]003690,코리안리,2024,5028,[정정]003690_코리안리.pdf,2,35
005320,국동,2024,2025,005320_국동.pdf,23,33
003580,HLB글로벌,2024,5415,003580_HLB글로벌.pdf,18,38
006200,한국전자홀딩스,2024,5989,006200_한국전자홀딩스.pdf,12,38
001380,SG글로벌,2024,3273,001380_SG글로벌.pdf,16,31
001530,디아이동일,2024,4418,001530_디아이동일.pdf,10,29
086280,현대글로비스,2024,8389,086280_현대글로비스.pdf,29,55
002600,조흥,2024,1437,002600_조흥.pdf,14,25
259960,크래프톤,2024,5810,259960_크래프톤.pdf,25,52
002630,오리엔트바이오,2024,6781,002630_오리엔트바이오.pdf,14,45
001140,국보,2024,6342,001140_국보.pdf,5,33
[정정]009310,참엔지니어링,2024,7779,[정정]009310_참엔지니어링.pdf,14,45
272210,한화시스템,2024,16495,272210_한화시스템.pdf,7,63
079430,현대리바트,2024,4723,079430_현대리바트.pdf,15,34
001250,GS글로벌,2024,6587,001250_GS글로벌.pdf,17,42
[정정]007610,선도전기,2024,0,[정정]007610_선도전기.pdf,2,2
075580,세진중공업,2024,2716,075580_세진중공업.pdf,21,38
003090,대웅,2024,4016,003090_대웅.pdf,5,24
293480,하나제약,2024,13455,293480_하나제약.pdf,6,57
[정정]034020,두산에너빌리티,2024,18462,[정정]034020_두산에너빌리티.pdf,25,82
004870,티웨이홀딩스,2024,6441,004870_티웨이홀딩스.pdf,5,35
465770,STX그린로지스,2024,1650,465770_STX그린로지스.pdf,10,17
084670,동양고속,2024,2336,084670_동양고속.pdf,13,22
003300,한일홀딩스,2024,10069,003300_한일홀딩스.pdf,14,51
010690,화신,2024,3430,010690_화신.pdf,18,35
338100,NH프라임리츠,2024,1042,338100_NH프라임리츠.pdf,9,22
007690,국도화학,2024,5192,007690_국도화학.pdf,21,47
001740,SK네트웍스,2024,13757,001740_SK네트웍스.pdf,6,57
[정정]088350,한화생명,2024,21666,[정정]088350_한화생명.pdf,29,125
000080,하이트진로,2024,12219,000080_하이트진로.pdf,23,78
036530,SNT홀딩스,2024,9334,036530_SNT홀딩스.pdf,17,54
007070,GS리테일,2024,19630,007070_GS리테일.pdf,8,79
009810,플레이그램,2024,2772,009810_플레이그램.pdf,30,41
001360,삼성제약,2024,5964,001360_삼성제약.pdf,12,37
251270,넷마블,2024,2654,251270_넷마블.pdf,27,39
002700,신일전자,2024,1964,002700_신일전자.pdf,11,23
[정정]001340,백광산업,2024,893,[정정]001340_백광산업.pdf,2,3
317400,자이에스앤디,2024,8411,317400_자이에스앤디.pdf,24,62
004840,DRB동일,2024,6312,004840_DRB동일.pdf,4,33
096760,JW홀딩스,2024,16270,096760_JW홀딩스.pdf,11,73
002620,제일파마홀딩스,2024,6410,002620_제일파마홀딩스.pdf,15,54
192820,코스맥스,2024,4235,192820_코스맥스.pdf,15,33
003350,한국화장품제조,2024,1958,003350_한국화장품제조.pdf,10,20
016360,삼성증권,2024,7749,016360_삼성증권.pdf,25,59
025750,한솔홈데코,2024,6036,025750_한솔홈데코.pdf,17,46
192650,드림텍,2024,5984,192650_드림텍.pdf,18,48
000970,한국주철관공업,2024,4903,000970_한국주철관공업.pdf,5,29
035250,강원랜드,2024,3295,035250_강원랜드.pdf,13,24
267260,HD현대일렉트릭,2024,5806,267260_HD현대일렉트릭.pdf,22,53
267270,HD현대건설기계,2024,3817,267270_HD현대건설기계.pdf,21,37
073240,금호타이어,2024,3135,073240_금호타이어.pdf,17,32
[정정]020560,아시아나항공,2024,7802,[정정]020560_아시아나항공.pdf,46,76
092790,넥스틸,2024,3422,092790_넥스틸.pdf,14,29
008250,이건산업,2024,4589,008250_이건산업.pdf,12,32
020760,일진디스플,2024,4223,020760_일진디스플.pdf,13,29
010950,S-Oil,2024,7267,010950_S-Oil.pdf,29,64
019490,하이트론씨스템즈,2024,1647,019490_하이트론씨스템즈.pdf,14,23
005490,POSCO홀딩스,2024,25232,005490_POSCO홀딩스.pdf,42,129
030610,교보증권,2024,5844,030610_교보증권.pdf,18,41
004830,덕성,2024,4766,004830_덕성.pdf,12,36
[정정]004690,삼천리,2024,11987,[정정]004690_삼천리.pdf,75,121
009310,참엔지니어링,2024,7779,009310_참엔지니어링.pdf,11,42
[정정]071970,STX중공업,2024,8270,[정정]071970_STX중공업.pdf,2,48
002410,범양건영,2024,2596,002410_범양건영.pdf,18,29
003240,태광산업,2024,3779,003240_태광산업.pdf,15,35
450080,에코프로머티,2024,4753,450080_에코프로머티.pdf,15,36
004710,한솔테크닉스,2024,10414,004710_한솔테크닉스.pdf,24,59
034230,파라다이스,2024,4262,034230_파라다이스.pdf,5,23
[정정]000680,LS네트웍스,2024,7214,[정정]000680_LS네트웍스.pdf,20,47
285130,SK케미칼,2024,6724,285130_SK케미칼.pdf,5,29
361610,SK아이이테크놀로지,2024,4907,361610_SK아이이테크놀로지.pdf,6,27
363280,티와이홀딩스,2024,32150,363280_티와이홀딩스.pdf,19,130
129260,인터지스,2024,4107,129260_인터지스.pdf,16,32
010130,고려아연,2024,12846,010130_고려아연.pdf,14,64
007860,서연,2024,5312,007860_서연.pdf,5,30
014530,극동유화,2024,4567,014530_극동유화.pdf,12,33
010770,평화홀딩스,2024,2513,010770_평화홀딩스.pdf,21,33
010660,화천기계,2024,4705,010660_화천기계.pdf,11,36
083420,그린케미칼,2024,6313,083420_그린케미칼.pdf,5,28
[정정]004800,효성,2024,6635,[정정]004800_효성.pdf,26,50
007980,TP,2024,4003,007980_TP.pdf,15,32
021240,코웨이,2024,4561,021240_코웨이.pdf,17,34
008700,아남전자,2024,3463,008700_아남전자.pdf,11,26
001500,현대차증권,2024,4180,001500_현대차증권.pdf,19,37
018670,SK가스,2024,12435,018670_SK가스.pdf,6,61
035420,NAVER,2024,10999,035420_NAVER.pdf,17,54
450140,코오롱모빌리티그룹,2024,4154,450140_코오롱모빌리티그룹.pdf,11,30
000050,경방,2024,2963,000050_경방.pdf,10,23
000950,전방,2024,3436,000950_전방.pdf,10,23
011500,한농화성,2024,4371,011500_한농화성.pdf,5,25
001940,KISCO홀딩스,2024,5468,001940_KISCO홀딩스.pdf,15,41
016450,한세예스24홀딩스,2024,12745,016450_한세예스24홀딩스.pdf,6,67
005880,대한해운,2024,4729,005880_대한해운.pdf,22,39
090460,비에이치,2024,4251,090460_비에이치.pdf,14,31
004970,신라교역,2024,3150,004970_신라교역.pdf,13,34
039130,하나투어,2024,1529,039130_하나투어.pdf,5,12
004690,삼천리,2024,11987,004690_삼천리.pdf,16,62
006370,대구백화점,2024,2069,006370_대구백화점.pdf,15,28
091810,티웨이항공,2024,10654,091810_티웨이항공.pdf,8,54
001210,금호전기,2024,4170,001210_금호전기.pdf,20,38
107590,미원홀딩스,2024,7659,107590_미원홀딩스.pdf,14,46
112610,씨에스윈드,2024,3584,112610_씨에스윈드.pdf,12,26
316140,우리금융지주,2024,28439,316140_우리금융지주.pdf,30,141
033240,자화전자,2024,3909,033240_자화전자.pdf,8,22
109070,주성코퍼레이션,2024,7330,109070_주성코퍼레이션.pdf,17,42
[정정]272210,한화시스템,2024,16495,[정정]272210_한화시스템.pdf,59,115
012750,에스원,2024,898,012750_에스원.pdf,13,15
023350,한국종합기술,2024,3471,023350_한국종합기술.pdf,18,33
000220,유유제약,2024,4853,000220_유유제약.pdf,16,40
[정정]030210,다올투자증권,2024,9027,[정정]030210_다올투자증권.pdf,24,60
025620,제이준코스메틱,2024,7098,025620_제이준코스메틱.pdf,5,38
011000,진원생명과학,2024,20943,011000_진원생명과학.pdf,18,75
003280,흥아해운,2024,2997,003280_흥아해운.pdf,11,25
008930,한미사이언스,2024,6660,008930_한미사이언스.pdf,10,37
012030,DB,2024,4312,012030_DB.pdf,13,30
084690,대상홀딩스,2024,17208,084690_대상홀딩스.pdf,28,97
210980,SK디앤디,2024,7238,210980_SK디앤디.pdf,29,55
002220,한일철강,2024,4634,002220_한일철강.pdf,12,32
271980,제일약품,2024,5229,271980_제일약품.pdf,11,40
030210,다올투자증권,2024,9027,030210_다올투자증권.pdf,21,57
071970,STX중공업,2024,5078,071970_STX중공업.pdf,17,45
092440,기신정기,2024,1694,092440_기신정기.pdf,10,18
011210,현대위아,2024,7239,011210_현대위아.pdf,19,44
034730,SK,2024,9970,034730_SK.pdf,20,61
[정정]001250,GS글로벌,2024,6587,[정정]001250_GS글로벌.pdf,22,47
[정정]450080,에코프로머티,2024,8461,[정정]450080_에코프로머티.pdf,2,42
007610,선도전기,2024,0,007610_선도전기.pdf,-1,-1
[정정]017390,서울도시가스,2024,3216,[정정]017390_서울도시가스.pdf,19,38
[정정]023960,에쓰씨엔지니어링,2024,4115,[정정]023960_에쓰씨엔지니어링.pdf,23,40
005030,부산주공,2024,3945,005030_부산주공.pdf,5,30
008770,호텔신라,2024,3450,008770_호텔신라.pdf,18,43
003650,미창석유공업,2024,2673,003650_미창석유공업.pdf,14,26
000180,성창기업지주,2024,7388,000180_성창기업지주.pdf,18,45
027970,한국제지,2024,4220,027970_한국제지.pdf,16,45
001340,백광산업,2024,4237,001340_백광산업.pdf,5,26
004020,현대제철,2024,5875,004020_현대제철.pdf,18,40
[정정]138040,메리츠금융지주,2024,15708,[정정]138040_메리츠금융지주.pdf,27,97
336260,두산퓨얼셀,2024,2275,336260_두산퓨얼셀.pdf,17,25
001570,금양,2024,4782,001570_금양.pdf,30,47
006390,한일현대시멘트,2024,4942,006390_한일현대시멘트.pdf,18,36
071090,하이스틸,2024,4681,071090_하이스틸.pdf,14,38
022100,포스코DX,2024,8194,022100_포스코DX.pdf,6,36
093370,후성,2024,3401,093370_후성.pdf,5,20
005720,넥센,2024,6613,005720_넥센.pdf,15,44
035000,HS애드,2024,2069,035000_HS애드.pdf,23,31
032350,롯데관광개발,2024,6294,032350_롯데관광개발.pdf,8,34
[정정]009240,한샘,2024,7664,[정정]009240_한샘.pdf,10,41
[정정]204320,HL만도,2024,8099,[정정]204320_HL만도.pdf,21,50
012800,대창,2024,5058,012800_대창.pdf,19,45
000590,CS홀딩스,2024,2611,000590_CS홀딩스.pdf,9,22
033530,에스제이지세종,2024,5962,033530_에스제이지세종.pdf,16,38
[정정]282330,BGF리테일,2024,5335,[정정]282330_BGF리테일.pdf,43,67
031440,신세계푸드,2024,6113,031440_신세계푸드.pdf,23,56
[정정]138490,코오롱ENP,2024,5069,[정정]138490_코오롱ENP.pdf,15,36
049800,우진플라임,2024,3505,049800_우진플라임.pdf,12,28
057050,현대홈쇼핑,2024,17706,057050_현대홈쇼핑.pdf,24,98
002350,넥센타이어,2024,6155,002350_넥센타이어.pdf,16,43
267850,아시아나IDT,2024,5177,267850_아시아나IDT.pdf,5,30
003920,남양유업,2024,2277,003920_남양유업.pdf,12,22
004150,한솔홀딩스,2024,12971,004150_한솔홀딩스.pdf,6,77
298690,에어부산,2024,3559,298690_에어부산.pdf,15,32
020120,키다리스튜디오,2024,4685,020120_키다리스튜디오.pdf,16,34
[정정]000990,DB하이텍,2024,4610,[정정]000990_DB하이텍.pdf,39,57
446070,유니드비티플러스,2024,3311,446070_유니드비티플러스.pdf,12,31
014580,태경비케이,2024,4580,014580_태경비케이.pdf,21,46
003010,혜인,2024,639,003010_혜인.pdf,7,9
016590,신대양제지,2024,2496,016590_신대양제지.pdf,18,35
016380,KG스틸,2024,4404,016380_KG스틸.pdf,17,37
[정정]000540,흥국화재,2024,4456,[정정]000540_흥국화재.pdf,2,25
006380,카프로,2024,2190,006380_카프로.pdf,25,39
095570,AJ네트웍스,2024,10268,095570_AJ네트웍스.pdf,4,41
[정정]161890,한국콜마,2024,18838,[정정]161890_한국콜마.pdf,2,71
183190,아세아시멘트,2024,7664,183190_아세아시멘트.pdf,14,43
058430,포스코스틸리온,2024,1925,058430_포스코스틸리온.pdf,11,19
118000,에스메디,2024,7388,118000_에스메디.pdf,29,61
105630,한세실업,2024,2632,105630_한세실업.pdf,17,31
002790,아모레퍼시픽그룹,2024,10798,002790_아모레퍼시픽그룹.pdf,7,47
011810,STX,2024,4194,011810_STX.pdf,14,30
020150,롯데에너지머티리얼즈,2024,3232,020150_롯데에너지머티리얼즈.pdf,19,34
267250,HD현대,2024,44027,267250_HD현대.pdf,37,193
[정정]214330,금호에이치티,2024,12818,[정정]214330_금호에이치티.pdf,27,87
[정정]180640,한진칼,2024,14699,[정정]180640_한진칼.pdf,13,80
002320,한진,2024,3218,002320_한진.pdf,28,45
084870,티비에이치글로벌,2024,2527,084870_티비에이치글로벌.pdf,12,26
000100,유한양행,2024,8548,000100_유한양행.pdf,16,56
000480,시알홀딩스,2024,6046,000480_시알홀딩스.pdf,21,50
001510,SK증권,2024,5623,001510_SK증권.pdf,22,52
003160,디아이,2024,10713,003160_디아이.pdf,6,53
009140,경인전자,2024,4754,009140_경인전자.pdf,17,37
051900,LG생활건강,2024,1694,051900_LG생활건강.pdf,20,25
042660,한화오션,2024,7429,042660_한화오션.pdf,23,50
372910,한컴라이프케어,2024,5904,372910_한컴라이프케어.pdf,18,45
014680,한솔케미칼,2024,5049,014680_한솔케미칼.pdf,5,28
006840,AK홀딩스,2024,18765,006840_AK홀딩스.pdf,11,75
000210,DL,2024,21811,000210_DL.pdf,21,108
009200,무림페이퍼,2024,9562,009200_무림페이퍼.pdf,5,47
024900,덕양산업,2024,2608,024900_덕양산업.pdf,10,23
089470,HDC현대EP,2024,5408,089470_HDC현대EP.pdf,11,32
002140,고려산업,2024,4197,002140_고려산업.pdf,13,36
051630,진양화학,2024,1783,051630_진양화학.pdf,9,18
003080,성보화학,2024,2073,003080_성보화학.pdf,19,29
